S&P 500 High Tracker Snapshot
Data Date: 2025-12-26
Generated: 2026-01-31 08:58:40 UTC
Total stocks: 503
================================================================================

| Ticker   | Name                            |   Price |   Market Cap (B) |   52W High |   % From 52W High |   All-Time High |   % From ATH | At 52W High   | At ATH   |
| AEP      | American Electric Power Company |  115.67 |            64.11 |     124.80 |             -7.32 |          124.80 |        -7.32 | False         | False    |
| GLW      | Corning Incorporated            |   89.57 |            88.52 |      96.64 |             -7.32 |           96.64 |        -7.32 | False         | False    |
| REG      | Regency Centers Corporation     |   69.55 |            13.41 |      75.09 |             -7.37 |           75.09 |        -7.37 | False         | False    |
| CMS      | CMS Energy Corporation          |   69.96 |            21.76 |      75.54 |             -7.39 |           75.54 |        -7.39 | False         | False    |
| EVRG     | Evergy, Inc.                    |   72.77 |            17.66 |      78.59 |             -7.41 |           78.59 |        -7.41 | False         | False    |
| PEP      | Pepsico, Inc.                   |  143.78 |           210.33 |     155.29 |             -7.41 |          179.53 |       -19.91 | False         | False    |
| MCK      | McKesson Corporation            |  828.26 |           103.39 |     894.75 |             -7.43 |          894.75 |        -7.43 | False         | False    |
| VLTO     | Veralto Corp                    |  101.62 |            24.58 |     109.85 |             -7.50 |          114.35 |       -11.14 | False         | False    |
| UHS      | Universal Health Services, Inc. |  227.64 |            12.81 |     246.13 |             -7.51 |          246.13 |        -7.51 | False         | False    |
| NEE      | NextEra Energy, Inc.            |   80.41 |           183.06 |      86.94 |             -7.51 |           86.94 |        -7.51 | False         | False    |
| ITW      | Illinois Tool Works Inc.        |  250.84 |            76.16 |     271.32 |             -7.55 |          271.32 |        -7.55 | False         | False    |
| PPL      | PPL Corporation                 |   35.08 |            26.82 |      37.96 |             -7.59 |           37.96 |        -7.59 | False         | False    |
| WYNN     | Wynn Resorts, Limited           |  124.36 |            11.17 |     134.72 |             -7.69 |          208.24 |       -40.28 | False         | False    |
| HSIC     | Henry Schein, Inc.              |   76.13 |             9.15 |      82.49 |             -7.71 |           92.68 |       -17.86 | False         | False    |
| PFE      | Pfizer, Inc.                    |   24.68 |           150.33 |      26.76 |             -7.79 |           49.42 |       -50.07 | False         | False    |
| WM       | Waste Management, Inc.          |  221.10 |            89.53 |     239.91 |             -7.84 |          239.91 |        -7.84 | False         | False    |
| DAY      | Dayforce, Inc.                  |   69.16 |            11.09 |      75.14 |             -7.96 |          130.37 |       -46.95 | False         | False    |
| BRK-B    | Berkshire Hathaway Inc. New     |  498.30 |          1036.66 |     542.07 |             -8.07 |          542.07 |        -8.07 | False         | False    |
| HCA      | HCA Healthcare, Inc.            |  477.13 |           114.25 |     519.23 |             -8.11 |          519.23 |        -8.11 | False         | False    |
| CVX      | Chevron Corporation             |  150.02 |           353.69 |     163.27 |             -8.11 |          165.94 |        -9.59 | False         | False    |
| AES      | The AES Corporation             |   13.91 |            10.43 |      15.14 |             -8.13 |           46.47 |       -70.08 | False         | False    |
| SPGI     | S&P Global Inc.                 |  529.45 |           161.13 |     576.91 |             -8.23 |          576.91 |        -8.23 | False         | False    |
| DIS      | Walt Disney Company (The)       |  113.56 |           201.38 |     123.85 |             -8.31 |          198.35 |       -42.75 | False         | False    |
| TRMB     | Trimble Inc.                    |   80.20 |            16.09 |      87.50 |             -8.34 |           96.49 |       -16.88 | False         | False    |
